id,label,hemisphere,structure
1,A8m_L,L,cortex
2,A8dl_L,L,cortex
3,A9l_L,L,cortex
4,A6dl_L,L,cortex
5,A6m_L,L,cortex
6,A9m_L,L,cortex
7,A10m_L,L,cortex
8,A9/46d_L,L,cortex
9,IFJ_L,L,cortex
10,A46_L,L,cortex
11,A9/46v_L,L,cortex
12,A8vl_L,L,cortex
13,A6vl_L,L,cortex
14,A10l_L,L,cortex
15,A44d_L,L,cortex
16,IFS_L,L,cortex
17,A45c_L,L,cortex
18,A45r_L,L,cortex
19,A44op_L,L,cortex
20,A44v_L,L,cortex
21,A14m_L,L,cortex
22,A12/47o_L,L,cortex
23,A11l_L,L,cortex
24,A11m_L,L,cortex
25,A13_L,L,cortex
26,A12/47l_L,L,cortex
27,A4hf_L,L,cortex
28,A6cdl_L,L,cortex
29,A4ul_L,L,cortex
30,A4t_L,L,cortex
31,A4tl_L,L,cortex
32,A6cvl_L,L,cortex
33,A1/2/3ll_L,L,cortex
34,A4ll_L,L,cortex
35,A38m_L,L,cortex
36,A41/42_L,L,cortex
37,TE1.0/TE1.2_L,L,cortex
38,A22c_L,L,cortex
39,A38l_L,L,cortex
40,A22r_L,L,cortex
41,A21c_L,L,cortex
42,A21r_L,L,cortex
43,A37dl_L,L,cortex
44,aSTS_L,L,cortex
45,A20iv_L,L,cortex
46,A37elv_L,L,cortex
47,A20r_L,L,cortex
48,A20il_L,L,cortex
49,A37vl_L,L,cortex
50,A20cl_L,L,cortex
51,A20cv_L,L,cortex
52,A20rv_L,L,cortex
53,A37mv_L,L,cortex
54,A37lv_L,L,cortex
55,A35/36r_L,L,cortex
56,A35/36c_L,L,cortex
57,TL_L,L,cortex
58,A28/34_L,L,cortex
59,TI_L,L,cortex
60,TH_L,L,cortex
61,rpSTS_L,L,cortex
62,cpSTS_L,L,cortex
63,A7r_L,L,cortex
64,A7c_L,L,cortex
65,A5l_L,L,cortex
66,A7pc_L,L,cortex
67,A7ip_L,L,cortex
68,A39c_L,L,cortex
69,A39rd_L,L,cortex
70,A40rd_L,L,cortex
71,A40c_L,L,cortex
72,A39rv_L,L,cortex
73,A40rv_L,L,cortex
74,A7m_L,L,cortex
75,A5m_L,L,cortex
76,dmPOS_L,L,cortex
77,A31_L,L,cortex
78,A1/2/3ulhf_L,L,cortex
79,A1/2/3tonIa_L,L,cortex
80,A2_L,L,cortex
81,A1/2/3tru_L,L,cortex
82,G_L,L,cortex
83,vIa_L,L,cortex
84,dIa_L,L,cortex
85,vId/vIg_L,L,cortex
86,dIg_L,L,cortex
87,dId_L,L,cortex
88,A23d_L,L,cortex
89,A24rv_L,L,cortex
90,A32p_L,L,cortex
91,A23v_L,L,cortex
92,A24cd_L,L,cortex
93,A23c_L,L,cortex
94,A32sg_L,L,cortex
95,cLinG_L,L,cortex
96,rCunG_L,L,cortex
97,cCunG_L,L,cortex
98,rLinG_L,L,cortex
99,vmPOS_L,L,cortex
100,mOccG_L,L,cortex
101,V5/MT+_L,L,cortex
102,OPC_L,L,cortex
103,iOccG_L,L,cortex
104,msOccG_L,L,cortex
105,lsOccG_L,L,cortex
106,A8m_R,R,cortex
107,A8dl_R,R,cortex
108,A9l_R,R,cortex
109,A6dl_R,R,cortex
110,A6m_R,R,cortex
111,A9m_R,R,cortex
112,A10m_R,R,cortex
113,A9/46d_R,R,cortex
114,IFJ_R,R,cortex
115,A46_R,R,cortex
116,A9/46v_R,R,cortex
117,A8vl_R,R,cortex
118,A6vl_R,R,cortex
119,A10l_R,R,cortex
120,A44d_R,R,cortex
121,IFS_R,R,cortex
122,A45c_R,R,cortex
123,A45r_R,R,cortex
124,A44op_R,R,cortex
125,A44v_R,R,cortex
126,A14m_R,R,cortex
