TR01,TR02,TR03,TR04,TR05,TR06,TR07,TR08,TR09,TR10,TR11,TR12,TR13,TR14,TR15,TR16,TR17,TR18,TR19,TR20,TR21,TR22,TR23,TR24,TR25,TR26,TR27,TR28,TR29,TR30
-0.020134168,-0.027594902,-0.035827313,-0.04450491,-0.053286146,-0.061826468,-0.069665395,-0.07611947,-0.08028929,-0.081178926,-0.077881604,-0.0697974,-0.05689489,-0.039891813,-0.020176629,0.000512137,0.020483086,0.03839892,0.053349838,0.064769424,0.07238798,0.07622645,0.07652183,0.073656425,0.06815212,0.060605463,0.051619843,0.04188129,0.032208133,0.023379063
-0.087512374,-0.10276629,-0.11689811,-0.12870213,-0.13721427,-0.14180128,-0.14212362,-0.13808379,-0.1298512,-0.11787555,-0.102911375,-0.08607808,-0.06883761,-0.05278306,-0.039319444,-0.029331679,-0.022938259,-0.019513845,-0.018011253,-0.017364116,-0.016710801,-0.015392334,-0.0128941,-0.008852791,-0.0031502,0.003977398,0.011978268,0.020177118,0.027970538,0.034934185
-0.1506091,-0.18864094,-0.22581284,-0.25928408,-0.28641906,-0.30502167,-0.31350753,-0.31110665,-0.29797655,-0.27515796,-0.24441674,-0.20811845,-0.16898295,-0.12965903,-0.092400715,-0.058958236,-0.030379038,-0.006793713,0.01244502,0.028325602,0.041796103,0.053589717,0.06423597,0.07409634,0.083244525,0.09134306,0.097761154,0.10187201,0.10336413,0.10242481
0.03351644,0.04259802,0.051319137,0.058556303,0.06315544,0.06420028,0.06125488,0.05454426,0.04496715,0.033895332,0.022958405,0.013878894,0.008175297,0.00677511,0.009797553,0.016603105,0.025954211,0.036175586,0.045443565,0.05219199,0.055431347,0.054841015,0.05066128,0.0435028,0.034165457,0.023541477,0.012587596,0.002200395,-0.007009313,-0.014779421
-0.11348125,-0.14275473,-0.17290516,-0.20212495,-0.2283792,-0.24961002,-0.2639623,-0.26996472,-0.26658803,-0.25322452,-0.22971962,-0.19646232,-0.15445244,-0.10528767,-0.051053304,0.005805604,0.06254949,0.11624431,0.16406307,0.20363677,0.23322895,0.25178516,0.25897652,0.2552071,0.24160138,0.21994582,0.19250228,0.16178755,0.13037844,0.100587085
-0.059648648,-0.07672398,-0.09343667,-0.108278334,-0.12002466,-0.12783326,-0.13113819,-0.12955704,-0.12297144,-0.11167241,-0.09636051,-0.078032106,-0.057945263,-0.03763218,-0.018719628,-0.002583495,0.009926938,0.018600333,0.023838948,0.0264839,0.027548874,0.027978666,0.028487064,0.029531028,0.031299535,0.03360303,0.035898343,0.037554916,0.038157478,0.037710793
-0.1301318,-0.16221328,-0.19491787,-0.22591099,-0.252679,-0.27276936,-0.28411025,-0.2853248,-0.27600977,-0.25687134,-0.22955687,-0.19629613,-0.15955247,-0.12175526,-0.08508043,-0.05124359,-0.021331765,0.004229277,0.025592368,0.04335243,0.058358487,0.071488135,0.08339483,0.09429411,0.10391585,0.1116755,0.11695823,0.11929119,0.118423715,0.11450668
-0.015774889,-0.024489274,-0.035083156,-0.04665685,-0.058056757,-0.06790317,-0.07473804,-0.07733282,-0.07501852,-0.06781811,-0.056329433,-0.041528795,-0.024640102,-0.006990688,0.01020246,0.026023565,0.039919633,0.051673673,0.061299145,0.068831176,0.07420016,0.07735475,0.07842412,0.07771507,0.07561059,0.072449416,0.068437144,0.063636474,0.058014415,0.05152876
0.000194546,-0.000512101,0.000318247,0.002738545,0.006458163,0.010908073,0.015352354,0.019038344,0.021345662,0.021839585,0.020288235,0.016665915,0.011096826,0.003747038,-0.00529163,-0.016001945,-0.02827919,-0.041753378,-0.05571229,-0.06913025,-0.08079664,-0.089527614,-0.09442129,-0.095067814,-0.091588795,-0.08446931,-0.07436657,-0.06206155,-0.048441216,-0.034414127
-0.027156161,-0.034709305,-0.04277979,-0.050472196,-0.056805197,-0.060938187,-0.06227157,-0.060505193,-0.055722225,-0.048361283,-0.039135978,-0.029022988,-0.01919289,-0.010827147,-0.004937331,-0.002198069,-0.002769287,-0.00621375,-0.011617756,-0.017818624,-0.02361112,-0.027925566,-0.029957738,-0.029231014,-0.025630658,-0.019423712,-0.011208735,-0.001801471,0.007860399,0.016805518
