fcgradient01,fcgradient02,fcgradient03
0.876441,-0.47321138,0.5353041
5.223231,-0.017440176,-0.82742435
6.513218,-0.22166517,-2.427174
-2.4357421,-0.45829952,1.0524439
-4.37101,-2.1717105,-0.615846
3.7560933,-0.2161022,0.18087536
5.941178,-0.18821631,-1.9762495
1.4623063,-0.2981651,0.920879
4.9859037,0.14755537,-0.005197783
4.1769547,-0.076747485,0.7178395
2.3793266,0.21137784,2.096147
4.8878245,0.01590989,-0.18454199
1.4083622,0.5676095,0.8353187
5.7567964,-0.14125998,-0.24140163
1.4369769,0.31238282,0.37032488
2.309516,0.47571555,1.1589713
5.5334654,-0.23489901,-1.8998048
5.4380455,-0.10990469,-1.084691
0.64537597,-0.42740944,0.9209733
1.1428918,-0.31633186,0.92619956
5.7325068,-0.09614146,-2.2730005
5.300296,0.006526361,-1.176396
3.0503047,0.072753645,1.1395974
6.4086847,-0.15693676,-1.7691939
3.9159312,-0.077179566,-0.87950784
4.2716303,-0.23391403,-0.51815915
-4.6300764,-2.1421733,-1.1490358
-4.238779,-1.3759562,-0.34226528
-5.2000437,-2.7353,-1.5889813
-5.2415857,-2.8239155,-1.590074
-3.7776618,-1.6660417,0.33650455
-1.19117,0.24215144,1.3693322
-4.921721,-2.4747353,-1.2617563
-5.2520084,-2.8796523,-1.7510084
4.2053947,-0.020476872,-2.5344296
-3.3755898,-1.4894422,-1.2412822
-3.3217666,-1.3929458,-0.90492386
-0.55511236,-0.5121212,-1.9153652
0.75049454,-0.5273693,-1.691488
1.8197423,-0.36943394,-2.435938
6.4347086,-0.081300706,-0.8441794
6.3998704,-0.2168448,-2.510861
0.4762537,0.2936667,0.9994588
6.1111445,-0.18517327,-2.2407002
1.5428368,0.53507286,-1.2869979
0.7949848,1.4591818,1.5880426
4.4796944,-0.11038321,-2.37293
6.104381,-0.0886289,-0.59470683
0.12432541,0.93848115,1.873657
5.1351275,0.2256701,0.6654228
1.3491318,0.45621428,1.5545264
0.65177673,1.4633648,-0.9097564
-3.974548,5.282498,-1.1281992
-1.5025254,2.6551454,-0.552697
0.80924845,0.5256998,-0.33910426
3.8356664,0.26267207,-1.4040633
2.754177,0.91870576,-1.5364395
4.232029,0.013431744,-2.1786532
-2.0263066,-0.38715145,-1.3143079
-0.03835255,1.3298548,-0.7060305
1.687715,-0.4065578,-2.2702372
0.32027087,0.3968199,-1.3506119
-2.8685338,1.5640701,0.927239
-1.2973946,1.6610006,1.530161
-2.9080336,0.37870046,0.6628603
-4.3422637,-1.4852617,-0.09628552
-2.3295333,2.9902956,0.44982052
-0.58308774,2.6646454,0.30146196
5.2793064,0.12205772,0.50927913
-1.1507114,0.19047695,1.5844696
4.3903494,-0.14171243,-0.05585159
3.8484232,0.5336202,-1.6641784
-3.3478756,-1.3513855,0.35688734
2.2176085,0.5869846,0.6187515
-2.899649,-0.28459597,0.43743885
2.2113888,1.0067718,-0.43247867
5.5687466,-0.005988308,-2.0321374
-5.0771427,-2.6382434,-1.6249378
-4.460134,-2.1238422,-0.8214867
-5.233066,-2.4561563,-1.4059246
-5.0822563,-2.5899923,-1.4732436
-4.0462146,-1.8097197,-0.47221392
2.6641376,-0.42898762,-0.3624754
-0.040256683,-0.28371108,2.225363
-2.8021996,-0.96399987,0.76552063
-4.0546536,-1.816417,-0.47334126
-2.5713549,-0.9417207,1.5042543
4.9789076,-0.10527853,-0.5866013
1.4523823,0.004097813,1.302993
1.0972484,-0.43503922,1.0262437
1.8260478,0.90262634,-1.1263248
-2.6829531,-1.1224722,0.7651327
-0.9587745,-0.6706315,0.37301946
4.994226,-0.13857771,-1.4771309
-4.3417926,5.1052957,-1.2876618
-4.1533356,4.110963,-1.0423535
-3.4904802,3.8438902,-0.8307117
-4.0423803,4.671864,-1.1388979
-4.0615196,3.7109032,-1.0677615
-4.0516057,4.978435,-0.95587164
-3.9635885,3.9825768,-0.8754517
-1.2534199,2.5712445,0.027453711
-3.217435,4.0564504,-0.6876308
-4.4578733,4.631907,-1.149347
-3.0459232,3.9972844,-0.16743462
0.15837914,-0.41754505,1.1461164
5.442485,0.014781129,-0.5686697
6.4619184,-0.1974312,-1.9706454
-1.0262731,-0.16594954,1.5550842
-4.4581895,-2.119661,-0.47028336
4.06088,-0.13489653,0.63161147
5.965728,-0.16176087,-1.8820022
