TR,CoDE,pval
TR01,6.184917044241742,0.0
TR02,6.271305585429668,0.0
TR03,6.341382296768087,0.0
TR04,6.3978540840997224,0.0
TR05,6.442561590074067,0.0
TR06,6.475864992076133,0.0
TR07,6.496379355991212,0.0
TR08,6.501244922781131,0.0
TR09,6.4867317541845315,0.0
TR10,6.448256612347034,0.0
TR11,6.378769913037713,0.0
TR12,6.265140475941322,0.0
TR13,6.081640157687037,0.0
TR14,5.778223902341558,0.0
TR15,5.270868867868617,0.0
TR16,4.550997672324546,0.0
TR17,4.102211927921378,0.0
TR18,4.489948930964116,0.0
TR19,5.307673026792465,0.0
TR20,5.988411313748868,0.0
TR21,6.416664569167092,0.0
TR22,6.665931230795522,0.0
TR23,6.806752716553846,0.0
TR24,6.880723923655288,0.0
TR25,6.911047453692975,0.0
TR26,6.911095318912779,0.0
TR27,6.888792011073611,0.0
TR28,6.84872622680724,0.0
TR29,6.793286582601972,0.0
TR30,6.7228412257381445,0.0
